OBJECTID_12,OBJECTID_1,OBJECTID,DISTRICT,DISTNAME,CAMPUS,CAMPNAME,STREET_MAI,CITY_MAIL,ZIP_MAIL,STREET,CITY,ZIP,COUNTY,CNTYNAME,REGION,GRADERANGE,GRADEGRP,VERIFY,INSTR_TYPE,STREET_M_1,ADJUST,Shape,Latitude,Longitude
1227,1227,8036,101913,HUMBLE ISD,101913047,ROSS STERLING MIDDLE SCHOOL,1131 WILSON RD,HUMBLE,77338,1131 WILSON RD,HUMBLE,77338,101,HARRIS COUNTY,4,06 07 08,2,0,REGULAR INSTRUCTIONAL,1131 WILSON RD,Y,1227,30.017301,-95.286217
1228,1228,8037,101913,HUMBLE ISD,101913123,RIVER PINES ELEMENTARY,2400 COLD RIVER DR,HUMBLE,77338,2400 COLD RIVER DR,HUMBLE,77338,101,HARRIS COUNTY,4,PK KG 01 02 03 04 05,1,0,REGULAR INSTRUCTIONAL,2400 COLD RIVER DR,Y,1228,30.017301,-95.286217
1281,1281,8325,101902,ALDINE ISD,101902072,RAYFORD INT,21919 RAYFORD RD,HUMBLE,77338,21919 RAYFORD RD,HUMBLE,77338,101,HARRIS COUNTY,4,05 06,2,0,REGULAR INSTRUCTIONAL,21919 RAYFORD RD,Y,1281,30.017301,-95.286217
823,823,3807,101913,HUMBLE ISD,101913042,KINGWOOD MIDDLE,3000 WOODLAND HILLS DR,KINGWOOD,77339,3000 WOODLAND HILLS DR,KINGWOOD,77339,101,HARRIS COUNTY,4,8-Jun,2,0,REGULAR,3000 WOODLAND HILLS DR,Y,823,30.046777,-95.221022
1226,1226,8035,101913,HUMBLE ISD,101913013,KINGWOOD PARK H S,4015 WOODLAND HILLS DR,KINGWOOD,77339,4015 WOODLAND HILLS DR,KINGWOOD,77339,101,HARRIS COUNTY,4,09 10,4,0,REGULAR INSTRUCTIONAL,4015 WOODLAND HILLS DR,Y,1226,30.046777,-95.221022
1261,1261,8185,101913,HUMBLE ISD,101913126,ATASCOCITA SPRINGS EL,13515 VALLEY LODGE PKWY,HUMBLE,77345,13515 VALLEY LODGE PKWY,HUMBLE,77345,101,HARRIS COUNTY,4,KG 01 02 03 04 05,1,0,REGULAR INSTRUCTIONAL,13515 VALLEY LODGE PKWY,Y,1261,30.053105,-95.157943
261,261,1266,101913,HUMBLE ISD,101913119,MAPLEBROOK ELEMENTARY,7935 FARMINGHAM RD,HUMBLE,77346,7935 FARMINGHAM RD,HUMBLE,77346,101,HARRIS COUNTY,4,EE-5,1,0,REGULAR,7935 FARMINGHAM RD,Y,261,29.994499,-95.177499
369,369,1864,101913,HUMBLE ISD,101913046,TIMBERWOOD MIDDLE,18450 TIMBER FOREST DR,HUMBLE,77346,18450 TIMBER FOREST DR,HUMBLE,77346,101,HARRIS COUNTY,4,8-Jun,2,1,REGULAR,1845 TIMBER FOREST DR,Y,369,29.994499,-95.177499
821,821,3805,101913,HUMBLE ISD,101913005,QUEST H S,18901 TIMBERFOREST DR,HUMBLE,77346,18901 TIMBERFOREST DR,HUMBLE,77346,101,HARRIS COUNTY,4,12-Sep,4,1,REGULAR,18901 TIMBERFOREST DR,Y,821,29.994499,-95.177499
822,822,3806,101913,HUMBLE ISD,101913041,HUMBLE MIDDLE,11207 WILL CLAYTON,HUMBLE,77346,11207 WILL CLAYTON,HUMBLE,77346,101,HARRIS COUNTY,4,8-Jun,2,0,REGULAR,11207 WILL CLAYTON,Y,822,29.994499,-95.177499
